record_id,nse_symbol,isin,company_name,board,delisted_date,delisting_type,source
NSEDL0363,PETRONENGG,INE742A01019,Petron Engineering Construction Limited,Main Board,2021-04-22,Delisting - Liquidation,NSE official delisted companies register
NSEDL0364,PRABHAT,INE302M01033,Prabhat Dairy Limited,Main Board,2021-04-30,Voluntary Delisting ,NSE official delisted companies register
NSEDL0365,JAIHINDPRO,INE343D01010,Jaihind Projects Limited,Main Board,2021-06-16,Voluntary Delisting ,NSE official delisted companies register
NSEDL0366,SANGHVIFOR,INE263L01013,Sanghvi Forging and Engineering Limited,Main Board,2021-06-17,Voluntary Delisting ,NSE official delisted companies register
NSEDL0367,HUSYSLTD,INE336T01010,Husys Consulting Limited,SME,2021-07-08,Voluntary Delisting ,NSE official delisted companies register
NSEDL0368,BSELINFRA,INE395A01016,BSEL Infrastructure Realty Limited,Main Board,2021-07-20,Voluntary Delisting ,NSE official delisted companies register
NSEDL0369,SICAGEN,INE176J01011,Sicagen India Limited,Main Board,2021-07-29,Voluntary Delisting ,NSE official delisted companies register
NSEDL0370,SUJANAUNI,INE216G01011,Sujana Universal Industries Limited,Main Board,2021-08-09,Voluntary Delisting ,NSE official delisted companies register
NSEDL0371,PARABDRUGS,INE618H01016,Parabolic Drugs Limited,Main Board,2021-08-11,Voluntary Delisting ,NSE official delisted companies register
NSEDL0372,ESSDEE,INE825H01017,Ess Dee Aluminium Limited,Main Board,2021-08-27,Compulsory Delisting ,NSE official delisted companies register
NSEDL0373,HIGHGROUND,INE361M01021,High Ground Enterprise Limited,Main Board,2021-08-27,Compulsory Delisting ,NSE official delisted companies register
NSEDL0374,SHLAKSHMI,INE851B01016,Shri Lakshmi Cotsyn Limited,Main Board,2021-08-27,Delisting - Liquidation,NSE official delisted companies register
NSEDL0375,SITASHREE,INE686I01011,Sita Shree Food Products Limited,Main Board,2021-08-27,Compulsory Delisting ,NSE official delisted companies register
NSEDL0376,SRSLTD,INE219H01039,SRS Limited,Main Board,2021-08-27,Delisting - Liquidation,NSE official delisted companies register
NSEDL0377,HINDSYNTEX,INE155B01012,Hind Syntex Limited,Main Board,2021-09-03,Compulsory Delisting ,NSE official delisted companies register
NSEDL0378,JVLAGRO,INE430G01026,JVL Agro Industries Limited,Main Board,2021-09-03,Delisting - Liquidation,NSE official delisted companies register
NSEDL0379,GUJNRECOKE,INE110D01013,Gujarat NRE Coke Limited,Main Board,2021-09-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0380,GUJNREDVR,IN9110D01011,Gujarat NRE Coke Limited,Main Board,2021-09-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0381,AMTEKAUTO,INE130C01021,Amtek Auto Limited,Main Board,2021-09-27,Voluntary Delisting ,NSE official delisted companies register
NSEDL0382,ZODJRDMKJ,INE077B01018,Zodiac JRD- MKJ Limited,Main Board,2021-09-28,Voluntary Delisting ,NSE official delisted companies register
NSEDL0383,DHFL,INE202B01012,Dewan Housing Finance Corporation Limited,Main Board,2021-09-29,Voluntary Delisting ,NSE official delisted companies register
NSEDL0384,CKPPRODUCT,INE977V01017,CKP Products Limited ,SME,2021-11-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0385,SIMPLEX,INE898F01018,Simplex Projects Limited,Main Board,2021-11-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0386,CASTEXTECH,INE068D01021,Castex Technologies Limited,Main Board,2021-12-07,Voluntary Delisting ,NSE official delisted companies register
NSEDL0387,MMNL,INE702S01015,MIG Media Neurons Limited,ITP,2021-12-21,Exit from ITP platform,NSE official delisted companies register
